,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,last_review,review_scores_rating
174,Brooklyn,House,Entire home/apt,2,1,1,1,Real Bed,96,5,365,62,22,2018-01-01,95
175,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,89,3,90,317,213,2018-01-05,98
176,Brooklyn,Apartment,Private room,2,2,1,1,Real Bed,50,3,30,272,152,2018-02-23,98
177,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,105,4,30,331,157,2018-02-21,95
178,Brooklyn,Loft,Private room,2,1,1,1,Real Bed,119,2,30,85,88,2018-01-01,97
179,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,105,3,29,15,30,2017-12-31,88
180,Brooklyn,Apartment,Private room,2,0.5,1,1,Real Bed,80,2,21,298,186,2018-02-19,86
181,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,230,2,60,162,27,2018-02-26,97
182,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,155,5,14,61,86,2018-01-03,95
183,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,125,30,60,42,19,2017-09-15,91
184,Brooklyn,House,Private room,2,1,3,1,Real Bed,77,2,90,364,1,2010-06-15,0
185,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,85,2,365,341,366,2018-01-21,90
186,Brooklyn,Apartment,Entire home/apt,4,1,2,2,Real Bed,125,3,30,195,169,2018-01-28,91
187,Brooklyn,Guest suite,Private room,3,1.5,1,2,Real Bed,125,4,730,365,65,2017-12-31,96
188,Brooklyn,Apartment,Entire home/apt,5,1,3,3,Real Bed,275,29,60,63,3,2017-07-30,100
189,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,4,30,1,31,2016-12-13,95
190,Brooklyn,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,199,3,21,93,9,2018-01-02,100
191,Manhattan,Apartment,Entire home/apt,1,1,1,1,Real Bed,160,14,30,363,3,2016-08-19,100
192,Brooklyn,Apartment,Entire home/apt,3,1,2,1,Real Bed,140,2,5,0,4,2016-04-24,90
193,Queens,House,Private room,2,1,1,1,Real Bed,140,2,730,0,1,2011-09-19,80
194,Brooklyn,Apartment,Entire home/apt,6,1,1,5,Real Bed,115,3,90,216,93,2018-01-01,91
195,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,195,4,60,307,196,2018-02-19,99
196,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,132,6,60,271,19,2016-07-07,100
197,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,78,3,60,239,165,2018-02-18,93
198,Queens,Apartment,Private room,1,1,1,1,Real Bed,105,1,730,89,0,,0
199,Brooklyn,Townhouse,Private room,2,2,1,1,Real Bed,44,14,31,92,8,2018-02-16,100
200,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,156,4,1125,294,52,2018-03-01,98
201,Brooklyn,Apartment,Entire home/apt,2,0,1,1,Real Bed,150,5,14,100,34,2018-01-04,86
202,Brooklyn,Apartment,Entire home/apt,2,1,1,2,Real Bed,95,13,365,241,14,2017-09-07,90
203,Brooklyn,Apartment,Private room,2,0,1,1,Real Bed,85,15,365,276,9,2013-05-10,98
204,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,135,3,30,325,135,2017-11-20,94
205,Brooklyn,Apartment,Entire home/apt,4,1,2,4,Real Bed,115,6,30,86,2,2018-01-01,80
206,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,69,2,730,269,34,2017-05-29,95
207,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,6,28,86,25,2018-02-19,88
208,Manhattan,Apartment,Entire home/apt,4,1,2,3,Real Bed,155,2,30,24,54,2017-12-15,89
209,Manhattan,Apartment,Entire home/apt,2,1,1,2,Real Bed,219,4,200,305,107,2017-10-26,95
210,Brooklyn,House,Entire home/apt,13,2.5,5,6,Real Bed,475,3,60,270,21,2018-01-01,93
211,Manhattan,Apartment,Private room,4,1,1,1,Real Bed,60,3,21,180,45,2018-01-01,89
212,Manhattan,House,Entire home/apt,2,1,1,1,Real Bed,69,7,730,0,150,2018-02-01,96
213,Manhattan,Apartment,Entire home/apt,4,1,1,1,Real Bed,99,1,28,116,189,2018-02-12,83
214,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,69,4,100,127,168,2018-02-05,95
215,Manhattan,Apartment,Private room,2,0,1,1,Real Bed,119,3,1825,362,33,2017-12-04,96
216,Brooklyn,Apartment,Entire home/apt,3,1,1,1,Real Bed,135,2,1125,333,271,2017-12-30,94
217,Manhattan,Apartment,Entire home/apt,4,2.5,2,3,Real Bed,250,7,60,0,9,2015-01-02,100
218,Brooklyn,Apartment,Private room,2,0,1,1,Real Bed,250,3,30,365,14,2011-04-25,100
219,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,36,7,120,0,2,2015-01-03,100
220,Manhattan,Apartment,Entire home/apt,4,2,3,3,Real Bed,325,7,30,365,1,2014-08-14,100
221,Manhattan,Apartment,Entire home/apt,1,1,1,1,Real Bed,250,3,10,365,4,2016-09-23,100
222,Brooklyn,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,250,2,730,309,52,2017-12-26,92
223,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,117,7,730,207,19,2017-12-31,92
224,Manhattan,Apartment,Entire home/apt,4,1,1,3,Real Bed,80,3,7,0,2,2015-11-02,80
225,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,2,30,229,43,2018-01-07,94
226,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,137,2,62,147,248,2018-02-25,94
227,Manhattan,Apartment,Entire home/apt,4,2,2,2,Real Bed,450,3,30,283,57,2017-07-10,95
228,Brooklyn,Apartment,Private room,3,1,1,1,Real Bed,70,2,730,354,234,2018-01-28,90
229,Brooklyn,Apartment,Entire home/apt,4,0,2,2,Real Bed,165,1,365,331,121,2018-02-19,91
231,Staten Island,Apartment,Private room,2,1,1,1,Futon,70,2,730,355,149,2018-01-01,95
232,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,280,10,62,19,22,2016-11-20,97
233,Brooklyn,House,Private room,1,1,1,1,Real Bed,50,2,9,68,15,2017-08-22,99
234,Bronx,House,Private room,1,1,1,1,Real Bed,36,1,2,359,116,2017-12-31,96
235,Manhattan,Apartment,Entire home/apt,4,1,2,2,Real Bed,149,1,365,353,120,2015-12-02,93
236,Brooklyn,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,2,730,141,193,2016-07-06,95
237,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,125,1,730,316,57,2018-02-20,93
238,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,225,3,60,17,100,2018-01-02,97
239,Brooklyn,House,Private room,2,1,1,1,Real Bed,110,2,30,349,169,2018-02-12,93
