,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
8303,Manhattan,Loft,Private room,1,1,1,1,Real Bed,80
8382,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,45
8459,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,150
8460,Manhattan,House,Private room,1,1,1,1,Real Bed,125
8461,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,37
8519,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
8529,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
8587,Manhattan,Apartment,Private room,1,1,1,1,Futon,70
8600,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
8622,Manhattan,House,Private room,1,1,1,1,Real Bed,100
8632,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
8644,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,40
8659,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,35
8661,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
8675,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
8706,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
8755,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
8758,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,77
8780,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,40
8789,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
8795,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,99
8823,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
8827,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,49
8868,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,127
8876,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,600
8892,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
8897,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,40
8917,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
8972,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
8978,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,25
8983,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
9016,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
9022,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
9106,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
9119,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,69
9137,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
9152,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
9182,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
9185,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
9213,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,41
9215,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,30
9216,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
9220,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
9228,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
9232,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
9233,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
9257,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,98
9261,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
9276,Manhattan,Apartment,Private room,1,1,1,3,Real Bed,75
9330,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,139
9332,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,76
