,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
7579,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
7606,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,150
7617,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,40
7649,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,100
7650,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
7670,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
7725,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,45
7750,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
7759,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,41
7767,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
7779,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
7800,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
7803,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,135
7816,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
7838,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
7845,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,67
7858,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,95
7860,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
7879,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,53
7897,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
7955,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
8001,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
8030,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
8046,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
8074,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
8090,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,90
8092,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,90
8102,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
8105,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
8126,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
8130,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
8146,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,58
8161,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
8164,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,59
8187,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
8220,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
8254,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
8306,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,41
8331,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,44
8332,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
8365,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
8378,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
8424,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
8434,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,99
8436,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,35
8442,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
8473,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
8484,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,52
8499,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,160
8506,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
8545,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,44
8590,Brooklyn,Apartment,Private room,1,1.0,1,1,Airbed,65
8599,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,31
8608,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,85
8617,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
8669,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,85
8674,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,69
8695,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,42
8696,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
8699,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
8714,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
